[29-Aug-2012 10:13:15] PHP Fatal error:  Class 'CartaPropostaRenovacao' not found in C:\projetos\sistemas.jc.com.br\wrvalidator\examples\validator.php on line 4
[29-Aug-2012 10:13:42] PHP Fatal error:  Class 'CartaPropostaRenovacao' not found in C:\projetos\sistemas.jc.com.br\wrvalidator\examples\validator.php on line 4
[29-Aug-2012 10:13:43] PHP Fatal error:  Class 'CartaPropostaRenovacao' not found in C:\projetos\sistemas.jc.com.br\wrvalidator\examples\validator.php on line 4
[29-Aug-2012 10:14:02] PHP Fatal error:  Class 'WRValidator\Object' not found in C:\projetos\sistemas.jc.com.br\wrvalidator\examples\validator.php on line 24
[29-Aug-2012 10:14:03] PHP Fatal error:  Class 'WRValidator\Object' not found in C:\projetos\sistemas.jc.com.br\wrvalidator\examples\validator.php on line 24
[29-Aug-2012 10:14:05] PHP Fatal error:  Class 'WRValidator\Object' not found in C:\projetos\sistemas.jc.com.br\wrvalidator\examples\validator.php on line 24
[29-Aug-2012 10:15:30] PHP Warning:  require(WRValidatorException.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in C:\projetos\sistemas.jc.com.br\wrvalidator\examples\validator.php on line 2
[29-Aug-2012 10:15:30] PHP Fatal error:  require() [<a href='function.require'>function.require</a>]: Failed opening required 'WRValidatorException.php' (include_path='.;C:\php\pear') in C:\projetos\sistemas.jc.com.br\wrvalidator\examples\validator.php on line 2
[12-Sep-2012 14:22:14] PHP Warning:  Missing argument 2 for WRValidator\Exception::error_5102(), called in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php(48) : eval()'d code on line 1 and defined in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 272
[12-Sep-2012 14:22:14] PHP Notice:  Undefined variable: strAdminMessage in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 277
[12-Sep-2012 14:22:14] PHP Warning:  Missing argument 2 for WRValidator\Exception::error_5102(), called in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php(48) : eval()'d code on line 1 and defined in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 272
[12-Sep-2012 14:22:14] PHP Notice:  Undefined variable: strAdminMessage in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 277
[12-Sep-2012 14:22:57] PHP Warning:  Missing argument 2 for WRValidator\Exception::error_5102(), called in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php(48) : eval()'d code on line 1 and defined in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 272
[12-Sep-2012 14:22:57] PHP Notice:  Undefined variable: strAdminMessage in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 277
[12-Sep-2012 14:25:45] PHP Warning:  Missing argument 2 for WRValidator\Exception::error_5102(), called in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php(48) : eval()'d code on line 1 and defined in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 272
[12-Sep-2012 14:25:45] PHP Notice:  Undefined variable: strAdminMessage in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 277
[12-Sep-2012 14:25:45] PHP Warning:  Missing argument 2 for WRValidator\Exception::error_5102(), called in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php(48) : eval()'d code on line 1 and defined in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 272
[12-Sep-2012 14:25:45] PHP Notice:  Undefined variable: strAdminMessage in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 277
[12-Sep-2012 14:28:17] PHP Warning:  Missing argument 2 for WRValidator\Exception::error_5102(), called in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php(48) : eval()'d code on line 1 and defined in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 272
[12-Sep-2012 14:28:17] PHP Notice:  Undefined variable: strAdminMessage in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 277
[12-Sep-2012 14:28:17] PHP Warning:  Missing argument 2 for WRValidator\Exception::error_5102(), called in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php(48) : eval()'d code on line 1 and defined in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 272
[12-Sep-2012 14:28:17] PHP Notice:  Undefined variable: strAdminMessage in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 277
[12-Sep-2012 14:28:18] PHP Warning:  Missing argument 2 for WRValidator\Exception::error_5102(), called in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php(48) : eval()'d code on line 1 and defined in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 272
[12-Sep-2012 14:28:18] PHP Notice:  Undefined variable: strAdminMessage in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 277
[12-Sep-2012 14:28:18] PHP Warning:  Missing argument 2 for WRValidator\Exception::error_5102(), called in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php(48) : eval()'d code on line 1 and defined in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 272
[12-Sep-2012 14:28:18] PHP Notice:  Undefined variable: strAdminMessage in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 277
[12-Sep-2012 14:30:21] PHP Warning:  Missing argument 2 for WRValidator\Exception::error_5102(), called in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php(51) : eval()'d code on line 1 and defined in C:\projetos\sistemas.jc.com.br\wrvalidator\WRValidatorException.php on line 275
